country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%
Jordan,10.0,0.0041652013546876,Near East,South/East Mediterranean,0.071,-0.06683479864531239,1325.8242143485895
Jordan,20.0,0.003360313345949,Near East,South/East Mediterranean,0.071,-0.067639686654051,1341.7910464997226
Jordan,30.0,0.0023137956205726,Near East,South/East Mediterranean,0.071,-0.06868620437942739,1362.551168010859
Jordan,40.0,0.0021292810665037,Near East,South/East Mediterranean,0.071,-0.06887071893349629,1366.2114448223826
Jordan,50.0,0.0015395667241088,Near East,South/East Mediterranean,0.071,-0.06946043327589119,1377.9098051158737
Kazakhstan,10.0,5.967873849657345,Near East,Central Asia,3.157,2.8108738496573453,28.202797647005983
Kazakhstan,20.0,4.91674817258758,Near East,Central Asia,3.157,1.7597481725875799,17.656367477048505
Kazakhstan,30.0,4.227921478101633,Near East,Central Asia,3.157,1.0709214781016332,10.745050599269955
Kazakhstan,40.0,3.8268276290144,Near East,Central Asia,3.157,0.6698276290143999,6.720690464913531
Kazakhstan,50.0,3.1350419562800163,Near East,Central Asia,3.157,-0.021958043719983777,0.22031521045823704
Kenya,10.0,11.073128283851348,Africa,East Africa,3.816,7.2571282838513484,49.83656124501814
Kenya,20.0,5.202348890919246,Africa,East Africa,3.816,1.3863488909192458,9.520413406912184
Kenya,30.0,3.30741245460307,Africa,East Africa,3.816,-0.5085875453969297,3.4926011175837046
Kenya,40.0,2.758546289606725,Africa,East Africa,3.816,-1.0574537103932746,7.261805846681046
Kenya,50.0,1.8838807398251427,Africa,East Africa,3.816,-1.9321192601748571,13.268358512643285
Kiribati,10.0,0.0,Asia and the Pacific,Pacific Region,0.001,-0.001,100000.0
Kiribati,20.0,0.0,Asia and the Pacific,Pacific Region,0.001,-0.001,100000.0
Kiribati,30.0,0.0,Asia and the Pacific,Pacific Region,0.001,-0.001,100000.0
Kiribati,40.0,0.0,Asia and the Pacific,Pacific Region,0.001,-0.001,100000.0
Kiribati,50.0,0.0,Asia and the Pacific,Pacific Region,0.001,-0.001,100000.0
"Korea, North",10.0,5.865169649224272,Asia and the Pacific,East Asia,7.455,-1.5898303507757277,2.8605891567166966
"Korea, North",20.0,5.5229711271970325,Asia and the Pacific,East Asia,7.455,-1.9320288728029675,3.476308551605574
"Korea, North",30.0,5.190666107474213,Asia and the Pacific,East Asia,7.455,-2.264333892525787,4.074226521707104
"Korea, North",40.0,4.842104529395031,Asia and the Pacific,East Asia,7.455,-2.612895470604969,4.701394992993902
"Korea, North",50.0,4.093025477939867,Asia and the Pacific,East Asia,7.455,-3.361974522060133,6.049216420022721
"Korea, South",10.0,5.719119022932742,Asia and the Pacific,East Asia,6.476,-0.756880977067258,1.804736949264224
"Korea, South",20.0,5.54129206537697,Asia and the Pacific,East Asia,6.476,-0.93470793462303,2.2287545829477615
"Korea, South",30.0,5.320994491581206,Asia and the Pacific,East Asia,6.476,-1.1550055084187942,2.7540408344307976
"Korea, South",40.0,5.088252410965169,Asia and the Pacific,East Asia,6.476,-1.3877475890348308,3.309000260368475
"Korea, South",50.0,4.479341450430525,Asia and the Pacific,East Asia,6.476,-1.9966585495694753,4.760911647475764
Kuwait,10.0,0.0,Near East,West Asia,0.005,-0.005,20000.0
Kuwait,20.0,0.0,Near East,West Asia,0.005,-0.005,20000.0
Kuwait,30.0,0.0,Near East,West Asia,0.005,-0.005,20000.0
Kuwait,40.0,0.0,Near East,West Asia,0.005,-0.005,20000.0
Kuwait,50.0,0.0,Near East,West Asia,0.005,-0.005,20000.0
Kyrgyzstan,10.0,1.0204852856123576,Near East,Central Asia,1.181,-0.16051471438764242,11.508402829419694
Kyrgyzstan,20.0,0.8187736118180158,Near East,Central Asia,1.181,-0.36222638818198427,25.970498757993965
Kyrgyzstan,30.0,0.6812759040662826,Near East,Central Asia,1.181,-0.49972409593371747,35.82865422346319
Kyrgyzstan,40.0,0.5933251484220274,Near East,Central Asia,1.181,-0.5876748515779726,42.134448237222905
Kyrgyzstan,50.0,0.4326953556910872,Near East,Central Asia,1.181,-0.7483046443089129,53.651101823818756
Laos,10.0,19.807031370234675,Asia and the Pacific,Southeast Asia,14.05,5.7570313702346745,2.9163923305098334
Laos,20.0,19.470140973974924,Asia and the Pacific,Southeast Asia,14.05,5.420140973974924,2.7457306639859795
Laos,30.0,19.126751591955927,Asia and the Pacific,Southeast Asia,14.05,5.076751591955926,2.571776746472778
Laos,40.0,18.82223658151496,Asia and the Pacific,Southeast Asia,14.05,4.77223658151496,2.4175157769100997
Laos,50.0,18.126165657681582,Asia and the Pacific,Southeast Asia,14.05,4.076165657681582,2.0649007270331334
Latvia,10.0,3.720049751880107,Europe,Eastern Europe,3.241,0.4790497518801069,4.5606060337892185
Latvia,20.0,3.627104463920186,Europe,Eastern Europe,3.241,0.3861044639201858,3.6757567265540483
Latvia,30.0,3.5456802267561214,Europe,Eastern Europe,3.241,0.3046802267561213,2.900589083006131
Latvia,40.0,3.4694625801556787,Europe,Eastern Europe,3.241,0.22846258015567855,2.174988751092823
Latvia,50.0,3.312139038835497,Europe,Eastern Europe,3.241,0.0711390388354971,0.6772514305201673
Lebanon,10.0,0.0956546025961445,Near East,South/East Mediterranean,0.139,-0.04334539740385551,224.34344704650644
Lebanon,20.0,0.0801812802650314,Near East,South/East Mediterranean,0.139,-0.05881871973496862,304.42896193244974
Lebanon,30.0,0.0662638145648621,Near East,South/East Mediterranean,0.139,-0.0727361854351379,376.461805471445
Lebanon,40.0,0.0583413123741605,Near East,South/East Mediterranean,0.139,-0.08065868762583951,417.4664231967264
Lebanon,50.0,0.0439015206788021,Near East,South/East Mediterranean,0.139,-0.09509847932119792,492.2026775073645
Lesotho,10.0,0.1281770850896124,Africa,Southern Africa,0.035,0.0931770850896124,7606.292660376521
Lesotho,20.0,0.0244649928624975,Africa,Southern Africa,0.035,-0.010535007137502505,860.0005826532655
Lesotho,30.0,0.0060602720694615,Africa,Southern Africa,0.035,-0.028939727930538502,2362.4267698398776
Lesotho,40.0,0.0029435223733577,Africa,Southern Africa,0.035,-0.0320564776266423,2616.8553164605955
Lesotho,50.0,0.0005246704379527854,Africa,Southern Africa,0.035,-0.03447532956204722,2814.3126173099768
Liberia,10.0,9.547654829109607,Africa,West Africa,8.009,1.538654829109607,2.3987479516771106
Liberia,20.0,9.48326957183381,Africa,West Africa,8.009,1.4742695718338101,2.2983719602028594
Liberia,30.0,9.38987557094609,Africa,West Africa,8.009,1.38087557094609,2.1527716188592523
Liberia,40.0,9.323314288135824,Africa,West Africa,8.009,1.314314288135824,2.049003224686973
Liberia,50.0,9.063157567201412,Africa,West Africa,8.009,1.0541575672014112,1.643421420600618
Libya,10.0,0.0247806569933264,Near East,South/East Mediterranean,0.214,-0.1892193430066736,413.178755801104
Libya,20.0,0.0142334743966164,Near East,South/East Mediterranean,0.214,-0.1997665256033836,436.2095501864434
Libya,30.0,0.00685437155154,Near East,South/East Mediterranean,0.214,-0.20714562844846,452.3225356984453
Libya,40.0,0.0061455029858227,Near East,South/East Mediterranean,0.214,-0.2078544970141773,453.8704188448277
Libya,50.0,0.0018028433175052,Near East,South/East Mediterranean,0.214,-0.2121971566824948,463.3530366898743
Liechtenstein,10.0,0.0097742665883409,Europe,Western Europe,0.005,0.0047742665883409,19097.0663533636
Liechtenstein,20.0,0.0092579795739297,Europe,Western Europe,0.005,0.0042579795739297,17031.9182957188
Liechtenstein,30.0,0.0088886188786013,Europe,Western Europe,0.005,0.0038886188786013,15554.4755144052
Liechtenstein,40.0,0.008590583222902,Europe,Western Europe,0.005,0.0035905832229019994,14362.332891607997
Liechtenstein,50.0,0.0080013368503726,Europe,Western Europe,0.005,0.0030013368503726,12005.347401490399
Lithuania,10.0,2.442140824195169,Europe,Eastern Europe,2.02,0.4221408241951692,10.345574556297647
Lithuania,20.0,2.383554502012489,Europe,Eastern Europe,2.02,0.36355450201248907,8.909776051673587
Lithuania,30.0,2.3284444453699606,Europe,Eastern Europe,2.02,0.30844444536996063,7.559171781442031
Lithuania,40.0,2.2798789260407406,Europe,Eastern Europe,2.02,0.2598789260407406,6.368957113046285
Lithuania,50.0,2.17064518047754,Europe,Eastern Europe,2.02,0.15064518047753994,3.6919218821081254
Luxembourg,10.0,0.1072379907351328,Europe,Western Europe,0.087,0.0202379907351328,267.3799806464896
Luxembourg,20.0,0.104574303579388,Europe,Western Europe,0.087,0.01757430357938801,232.18791887155515
Luxembourg,30.0,0.1022798747075584,Europe,Western Europe,0.087,0.0152798747075584,201.8744181207346
Luxembourg,40.0,0.1006848145517171,Europe,Western Europe,0.087,0.013684814551717106,180.8008264198323
Luxembourg,50.0,0.0975535714877484,Europe,Western Europe,0.087,0.010553571487748409,139.43151655104253
Macedonia,10.0,0.9475044971678552,Europe,Eastern Europe,0.958,-0.010495502832144732,1.1435949581967404
