country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,GLC_Mha,deviation_GLC_Mha,deviation_GLC_%
Bosnia & Herzegovina,40,2.59554240571961,Europe,Eastern Europe,2.112,0.4835424057196098,22.895000270814858,3.661466190455748,-1.065923784736138,29.111938477396155
Bosnia & Herzegovina,50,2.4850794058705983,Europe,Eastern Europe,2.112,0.3730794058705982,17.664744596145745,3.661466190455748,-1.1763867845851497,32.128844659322745
Botswana,10,2.642043788490907,Africa,Southern Africa,15.728,-13.085956211509092,83.20165444754001,2.7503086542243462,-0.1082648657334393,3.936462388217755
Botswana,20,0.2409189834639315,Africa,Southern Africa,15.728,-15.487081016536068,98.46821602578883,2.7503086542243462,-2.509389670760415,91.24029286335222
Botswana,30,0.0205591426725815,Africa,Southern Africa,15.728,-15.707440857327418,99.86928317222417,2.7503086542243462,-2.729749511551765,99.25247871212551
Botswana,40,0.008122108901946,Africa,Southern Africa,15.728,-15.719877891098054,99.94835892102019,2.7503086542243462,-2.7421865453224004,99.70468373106158
Botswana,50,0.0013229667303201,Africa,Southern Africa,15.728,-15.726677033269679,99.99158846178585,2.7503086542243462,-2.748985687494026,99.95189751781902
Brazil,10,548.4745129821171,Americas,South America,560.72,-12.245487017882965,2.183886256577787,544.8111437243232,3.6633692577938746,0.6724108528234429
Brazil,20,533.3126712831902,Americas,South America,560.72,-27.407328716809843,4.887881423314639,544.8111437243232,-11.498472441133003,2.1105428135205844
Brazil,30,519.4125962039997,Americas,South America,560.72,-41.30740379600036,7.366850441575182,544.8111437243232,-25.39854752032352,4.661899414666762
Brazil,40,503.6287570104367,Americas,South America,560.72,-57.09124298956334,10.181773967321185,544.8111437243232,-41.1823867138865,7.559020623617231
Brazil,50,475.3378955315959,Americas,South America,560.72,-85.38210446840412,15.227226506706398,544.8111437243232,-69.47324819272728,12.751803811832646
Brunei,10,0.5410706649550501,Asia and the Pacific,Southeast Asia,0.397,0.14407066495505005,36.28984003905543,0.5376423769644586,0.003428287990591472,0.6376521155098797
Brunei,20,0.5388729714763454,Asia and the Pacific,Southeast Asia,0.397,0.14187297147634537,35.73626485550261,0.5376423769644586,0.0012305945118867845,0.22888718683872164
Brunei,30,0.5365885974656076,Asia and the Pacific,Southeast Asia,0.397,0.1395885974656076,35.160855784787806,0.5376423769644586,-0.001053779498850993,0.19600008183890874
Brunei,40,0.5347170557795531,Asia and the Pacific,Southeast Asia,0.397,0.13771705577955307,34.68943470517709,0.5376423769644586,-0.002925321184905516,0.54410167617775
Brunei,50,0.5311636181976227,Asia and the Pacific,Southeast Asia,0.397,0.13416361819762268,33.794362266403695,0.5376423769644586,-0.0064787587668359015,1.205031270677569
Bulgaria,10,4.441633187261891,Europe,Eastern Europe,3.375,1.0666331872618908,31.603946289241208,4.610492183819118,-0.16885899655722714,3.662493933941607
