country,threshold,area
Nepal,10,5.608065431320957
Sri Lanka,10,4.247515131103029
India,10,49.365018449232
Bangladesh,10,2.6517513649174216
Palau,10,0.03977581676576217
Nauru,10,0.0
Tuvalu,10,0.0
Cook Is,10,0.0
Tonga,10,0.0
Niue,10,0.0
Samoa,10,0.0
Marshall Is,10,0.0
Kiribati,10,0.0
Fed States of Micronesia,10,0.003902138951025402
Papua New Guinea,10,43.34108665312412
Solomon Is,10,2.564685410737566
New Zealand,10,11.445539807346583
Fiji,10,1.6311965067324112
Vanuatu,10,1.0549662991543665
Indonesia,10,163.62522511761972
Singapore,10,0.021183616694465997
Brunei,10,0.5410706649550501
Philippines,10,19.32089350403554
Timor-Leste,10,0.8490598151331019
Malaysia,10,29.6261841226682
Thailand,10,21.935149500598563
Burma,10,44.883691661574495
Laos,10,19.80703137023186
Cambodia,10,10.292989855229637
Vietnam,10,18.13445792137934
Oman,10,0.0014156923558715825
United Arab Emirates,10,2.1824194213867185e-06
Qatar,10,0.0
Bahrain,10,0.0
Iran,10,2.0154300667808873
Kuwait,10,0.0
Azerbaijan,10,1.4998208538670126
Armenia,10,0.39043527058942107
Georgia,10,3.3712569390070595
Turkey,10,12.990688911322112
Cyprus,10,0.18127689124593496
Israel,10,0.04806382167520714
Jordan,10,0.004165201354687646
Saudi Arabia,10,3.197755684204101e-05
West Bank,10,0.0012081347952680968
West Bank,10,0.0
Iraq,10,0.03845363354247433
Syria,10,0.15110734966689046
Lebanon,10,0.09565460259614454
Syria,10,0.00012152227153968983
Syria,10,0.0032919411776391834
Israel,10,5.4210019526462935e-06
Syria,10,0.00013361500653499852
Syria,10,2.6051777765730317e-06
Yemen,10,0.007552125647051885
Australia,10,70.19580338522316
Cuba,10,4.362883947210799
Antigua & Barbuda,10,0.02101499426904839
St Kitts & Nevis,10,0.014135991834545721
Dominica,10,0.06821189493102502
Trinidad & Tobago,10,0.3969889336102698
Grenada,10,0.028525578354159517
Saint Lucia,10,0.05220925280136067
St Vincent & the Grenadines,10,0.02870181199567713
Barbados,10,0.006099691043378001
Dominican Republic,10,2.8765414274052694
Haiti,10,1.070560295121326
Jamaica,10,0.8087637276049311
Cuba,10,0.000321032413378595
Turkmenistan,10,0.031351608733050366
Kyrgyzstan,10,1.0204852856125588
Kazakhstan,10,5.967873849657825
Tajikistan,10,0.17611608462907885
Uzbekistan,10,0.26308418527634025
Mauritius,10,0.14836630273601545
Seychelles,10,0.011288519212168039
Mexico,10,64.01881448003702
United States,10,123.09846956081599
"Bahamas, The",10,0.3413132335837751
Canada,10,185.64917643720872
Canada,10,0.12925843102630277
United States,10,65.20651375676964
Canada,10,141.46211455207842
Canada,10,26.781283982274736
Canada,10,0.0
Canada,10,0.0
Canada,10,56.64526612173182
Canada,10,59.9220102529268
United States,10,48.46325201851447
United States,10,21.570994587211622
Bolivia,10,66.5251408874048
Chile,10,19.07488728886401
Paraguay,10,27.02919472559897
Argentina,10,43.52613190329047
Uruguay,10,1.8814542617473158
Ecuador,10,19.74826986634346
Venezuela,10,58.858642952638434
Suriname,10,13.905748473274894
Guyana,10,19.149072126259767
Colombia,10,84.43869856468368
Peru,10,79.07564383357986
Brazil,10,548.4745129821144
El Salvador,10,1.1462031183210672
Guatemala,10,8.274270340776496
Panama,10,5.906547502033717
Costa Rica,10,4.1033948418317685
Nicaragua,10,8.419757268755882
Honduras,10,8.44241930989641
Belize,10,1.7838870762841559
Chad,20,1.8864281286651223
Malawi,20,3.1751209084325023
Zambia,20,39.9574266680795
Zimbabwe,20,4.24076957017939
Botswana,20,0.2409189834639316
Namibia,20,0.04648526264462494
Angola,20,72.70029935900816
Burundi,20,1.2932513200536728
Rwanda,20,1.0285776778171838
South Africa,20,9.504080717939045
Lesotho,20,0.02446499286249759
Swaziland,20,0.7689615047110807
Niger,20,3.1462681737778613e-05
Sudan,20,0.08715849961630216
Libya,20,0.014233474396616406
Tunisia,20,0.2524661128005028
Egypt,20,0.6866310461235989
Eritrea,20,8.827301730957013e-05
Ethiopia,20,19.952740854861513
Djibouti,20,7.004596435546874e-07
Somalia,20,0.26486329933783437
Kenya,20,5.202348890919245
Uganda,20,12.81974371188455
Tanzania,20,42.77072589547616
Mozambique,20,46.92151543415662
Comoros,20,0.15077439482815325
Madagascar,20,21.696177252236918
Cabo Verde,20,0.008433724728265257
Mauritania,20,3.922913738403317e-05
Morocco,20,0.8472450372850052
Algeria,20,1.4398615749623307
Mali,20,0.32696719346971986
Burkina Faso,20,0.01635259017082229
Togo,20,1.427227215216609
Ghana,20,9.723525591484632
Cote d'Ivoire,20,21.686337591199255
Guinea,20,14.83750243632951
Senegal,20,0.7324356421777493
"Gambia, The",20,0.07816856253333589
Guinea-Bissau,20,2.1622802136819956
Sierra Leone,20,6.529522004112835
Liberia,20,9.483269571833851
Benin,20,1.7046233263370083
Nigeria,20,17.293980854055075
Cameroon,20,36.943525284292754
Equatorial Guinea,20,2.6561343977647374
Sao Tome & Principe,20,0.014771275813749672
Gabon,20,25.088524642752873
Rep of the Congo,20,31.09570107926129
Central African Rep,20,54.94643036752094
Dem Rep of the Congo,20,220.63756505371862
Japan,20,27.0698419283239
"Korea, South",20,5.541292065377398
"Korea, North",20,5.522971127200165
China,20,43.78592011388998
China,20,1.659914633308246
China,20,34.50595310944462
China,20,96.91769127567862
Russia,20,96.54524234183374
Ukraine,20,12.115023067212862
Romania,20,8.222442304467268
Moldova,20,0.4041510567475467
Russia,20,89.09928624433519
Finland,20,22.013805049413445
Norway,20,11.820301808589456
Andorra,20,0.019868728811126935
Italy,20,10.015451928524605
Monaco,20,1.364498686738855e-06
Malta,20,0.00013512862124432748
San Marino,20,0.0010373754760631638
Croatia,20,2.5360740107812703
Albania,20,0.7611004456546183
Bosnia & Herzegovina,20,2.7888592481573595
Montenegro,20,0.6820615488872201
Serbia,20,2.8802485052408118
Greece,20,4.330438647473213
Macedonia,20,0.874658344057987
Bulgaria,20,4.298219105148977
Portugal,20,2.6515121987292867
