country,threshold,area_Mha
Peru,40,77.70868098662032
Peru,50,76.83826921971219
Philippines,10,19.320893504036142
Philippines,20,18.752022385596845
Philippines,30,18.18425476122785
Philippines,40,17.776362928820536
Philippines,50,16.983960255985032
Poland,10,11.2118599012382
Poland,20,10.808599891975868
Poland,30,10.465164398128032
Poland,40,10.182379220873374
Poland,50,9.55028198624352
Portugal,10,3.0231435972751144
Portugal,20,2.651512198731277
Portugal,30,2.2900936658247915
Portugal,40,2.0256219736912087
Portugal,50,1.5783954650372392
Qatar,10,0.0
Qatar,20,0.0
Qatar,30,0.0
Qatar,40,0.0
Qatar,50,0.0
Rep of the Congo,10,33.704369396484964
Rep of the Congo,20,31.09570107926129
Rep of the Congo,30,26.514459313757023
Rep of the Congo,40,25.227350839337987
Rep of the Congo,50,24.0378513083876
Romania,10,8.517666708075417
Romania,20,8.222442304467336
Romania,30,7.926893115669489
Romania,40,7.7050348770853985
Romania,50,7.3936860385982675
Russia,10,886.1615485862021
Russia,20,814.3096137301529
Russia,30,761.6598393477013
Russia,40,703.4233549920202
Russia,50,601.1982016142841
Rwanda,10,2.066463964373473
Rwanda,20,1.0285776778171836
Rwanda,30,0.4985736158740578
Rwanda,40,0.3362036016913337
Rwanda,50,0.2060789469322204
Saint Lucia,10,0.0522092528013606
Saint Lucia,20,0.0511793259945226
Saint Lucia,30,0.0504856550749716
Saint Lucia,40,0.0498325880236293
Saint Lucia,50,0.0489891289655162
Samoa,10,0.0
Samoa,20,0.0
Samoa,30,0.0
Samoa,40,0.0
Samoa,50,0.0
San Marino,10,0.0011360656055381
San Marino,20,0.0010373754760631
San Marino,30,0.0008607924505207407
San Marino,40,0.0007211147655925167
San Marino,50,0.0006138521473442555
Sao Tome & Principe,10,0.0152159589522034
Sao Tome & Principe,20,0.0147712758137496
Sao Tome & Principe,30,0.014045533401691
Sao Tome & Principe,40,0.0138624551202675
Sao Tome & Principe,50,0.0130732568007356
Saudi Arabia,10,3.197755684204101e-05
Saudi Arabia,20,7.160309655761718e-06
Saudi Arabia,30,6.904660882568359e-06
Saudi Arabia,40,6.904660882568359e-06
Saudi Arabia,50,6.819636358642578e-06
Senegal,10,4.812682914670145
Senegal,20,0.7324356421776943
Senegal,30,0.0391867469084435
Senegal,40,0.0126048781352881
Senegal,50,0.0020294677710486
Serbia,10,3.00880987677169
Serbia,20,2.8802485052407265
Serbia,30,2.712383192610597
Serbia,40,2.596127437921647
Serbia,50,2.4862889446006764
Seychelles,10,0.011288519212168
Seychelles,20,0.0080026799252118
Seychelles,30,0.0053919352755206
Seychelles,40,0.0047383321041278
Seychelles,50,0.0025762618941819
Sierra Leone,10,7.13310778678188
Sierra Leone,20,6.529522004112711
Sierra Leone,30,5.608856043596079
Sierra Leone,40,4.987575436725594
Sierra Leone,50,3.5838356736234167
Singapore,10,0.0211836166944659
Singapore,20,0.0194819027072594
Singapore,30,0.0182350908297964
Singapore,40,0.0174803408730426
Singapore,50,0.0161959380331019
Slovakia,10,2.4849063096798982
Slovakia,20,2.4360241525003192
Slovakia,30,2.390978202274851
Slovakia,40,2.355865944496629
Slovakia,50,2.292012819921973
Slovenia,10,1.3608682925798177
Slovenia,20,1.3358260237981574
Slovenia,30,1.3124757123522384
Slovenia,40,1.295909767461478
Slovenia,50,1.264475260762606
Solomon Is,10,2.5646854107368946
Solomon Is,20,2.561276425409868
Solomon Is,30,2.5577741357414228
Solomon Is,40,2.5550547957131635
Solomon Is,50,2.549428502405138
Somalia,10,3.975323098435011
Somalia,20,0.2648632993378343
Somalia,30,0.0908248476797083
Somalia,40,0.0647344909771315
Somalia,50,0.0164996452155507
South Africa,10,22.6345646268749
South Africa,20,9.504080717939448
South Africa,30,5.983608782545032
South Africa,40,4.880481594561859
South Africa,50,3.16587342945363
Spain,10,14.31884664051911
Spain,20,12.62146187018509
Spain,30,10.998379666120494
Spain,40,10.040500179293476
Spain,50,8.071856839487346
Sri Lanka,10,4.247515131103029
Sri Lanka,20,4.130656432796647
Sri Lanka,30,3.940087281823915
Sri Lanka,40,3.81017424858296
Sri Lanka,50,3.5546343621859906
St Kitts & Nevis,10,0.0141359918345457
St Kitts & Nevis,20,0.0135602821588347
St Kitts & Nevis,30,0.0131393016646957
St Kitts & Nevis,40,0.0127111437679907
St Kitts & Nevis,50,0.0122474183526751
St Vincent & the Grenadines,10,0.0287018119956771
St Vincent & the Grenadines,20,0.0276000658553954
St Vincent & the Grenadines,30,0.0271308839869456
St Vincent & the Grenadines,40,0.026730564970777
St Vincent & the Grenadines,50,0.0259857736692073
Sudan,10,2.718611945873222
Sudan,20,0.0871584996163021
Sudan,30,0.0210314346388835
Sudan,40,0.00929978931945
Sudan,50,0.0009337235999078184
Suriname,10,13.9057484732749
Suriname,20,13.88790578567147
Suriname,30,13.874381428182744
Suriname,40,13.857385308897868
Suriname,50,13.836719448466964
Swaziland,10,1.466876822899348
Swaziland,20,0.7689615047110807
Swaziland,30,0.4687397768417811
Swaziland,40,0.355324414851916
Swaziland,50,0.1997073523628204
Sweden,10,29.284181268917745
Sweden,20,28.43925570176347
Sweden,30,27.707614325803625
Sweden,40,26.592511509321465
Sweden,50,23.862929215379904
Switzerland,10,1.654507323930141
Switzerland,20,1.5935227711562998
Switzerland,30,1.5466842465550377
Switzerland,40,1.5143290210038194
Switzerland,50,1.4468811640021697
Syria,10,0.15465703330038078
Syria,20,0.13183299354945704
Syria,30,0.1094750694131039
Syria,40,0.09920104480676312
Syria,50,0.08402570190287774
Tajikistan,10,0.1761160846295183
Tajikistan,20,0.1086751919770338
Tajikistan,30,0.0614712468101568
Tajikistan,40,0.0446698072841885
Tajikistan,50,0.0192863893897697
Tanzania,10,65.48896778261529
Tanzania,20,42.77072589547597
Tanzania,30,26.39480356926851
Tanzania,40,19.506503776357757
Tanzania,50,9.701794585863889
Thailand,10,21.93514950059857
Thailand,20,20.93791099984777
Thailand,30,19.96717478262606
Thailand,40,19.26054170683668
Thailand,50,17.950703188312247
